Train data size: 80, Validation size: 0, Test size: 20

Data sample 0 - Start index: 0, End index: 831, Chunk size: 831

------------------------------------
--- Linear Regression Classifier - TEST DATA ---

Size of test set: 166
Size of predicted set: 166

Number of estimators: -1
Randomize value: 10

Unique classes in TESTS\VALIDATION set: [0 1]
Unique classes in PREDICTED set: [0 1]

Accuracy: 0.9578
Recall: 1.00
AUC: 0.93
Mean Absolute Error (MAE): 0.04
R-squared: 0.80
              precision    recall  f1-score   support

           0       1.00      0.86      0.92        49
           1       0.94      1.00      0.97       117

    accuracy                           0.96       166
   macro avg       0.97      0.93      0.95       166
weighted avg       0.96      0.96      0.96       166

------------------------------------

------------------------------------
--- Linear Regression Classifier - TRAIN DATA ---

Size of test set: 664
Size of predicted set: 664

Number of estimators: -1
Randomize value: 10

Unique classes in TESTS\VALIDATION set: [0 1]
Unique classes in PREDICTED set: [0 1]

Accuracy: 0.9970
Recall: 1.00
AUC: 0.99
Mean Absolute Error (MAE): 0.00
R-squared: 0.97
              precision    recall  f1-score   support

           0       0.99      0.99      0.99        83
           1       1.00      1.00      1.00       581

    accuracy                           1.00       664
   macro avg       0.99      0.99      0.99       664
weighted avg       1.00      1.00      1.00       664

------------------------------------

Feature 0: Coefficient = -0.2103, Odds Ratio = 0.8103
Feature 92: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 93: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 94: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 95: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 96: Coefficient = 0.0280, Odds Ratio = 1.0284
Feature 97: Coefficient = 0.0373, Odds Ratio = 1.0380
Feature 98: Coefficient = 0.0280, Odds Ratio = 1.0284
Feature 99: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 100: Coefficient = -1.0053, Odds Ratio = 0.3659
Feature 101: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 102: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 103: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 104: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 105: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 106: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 107: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 108: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 109: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 110: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 111: Coefficient = 0.0176, Odds Ratio = 1.0177
Feature 112: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 113: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 114: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 115: Coefficient = 0.0373, Odds Ratio = 1.0380
Feature 116: Coefficient = 0.0373, Odds Ratio = 1.0380
Feature 117: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 118: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 119: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 120: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 121: Coefficient = -0.2127, Odds Ratio = 0.8084
Feature 122: Coefficient = 0.0083, Odds Ratio = 1.0084
Feature 123: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 124: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 125: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 126: Coefficient = -0.2480, Odds Ratio = 0.7804
Feature 127: Coefficient = 0.0408, Odds Ratio = 1.0417
Feature 128: Coefficient = -0.1066, Odds Ratio = 0.8989
Feature 129: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 130: Coefficient = 0.2985, Odds Ratio = 1.3478
Feature 131: Coefficient = 0.0123, Odds Ratio = 1.0123
Feature 132: Coefficient = -0.2664, Odds Ratio = 0.7661
Feature 133: Coefficient = 0.0000, Odds Ratio = 1.0000
Feature 134: Coefficient = 0.0280, Odds Ratio = 1.0284
Feature 135: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 136: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 137: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 138: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 139: Coefficient = 0.0280, Odds Ratio = 1.0284
Feature 140: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 141: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 142: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 143: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 144: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 145: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 146: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 147: Coefficient = 0.0560, Odds Ratio = 1.0576
Feature 148: Coefficient = -0.0426, Odds Ratio = 0.9583
Feature 149: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 150: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 151: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 152: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 153: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 154: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 155: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 156: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 157: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 158: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 159: Coefficient = 0.0373, Odds Ratio = 1.0380
Feature 160: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 161: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 162: Coefficient = 0.0933, Odds Ratio = 1.0978
Feature 163: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 164: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 165: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 166: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 167: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 168: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 169: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 170: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 171: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 172: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 173: Coefficient = 0.0123, Odds Ratio = 1.0123
Feature 174: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 175: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 176: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 177: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 178: Coefficient = 0.0280, Odds Ratio = 1.0284
Feature 179: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 180: Coefficient = 0.0000, Odds Ratio = 1.0000
Feature 181: Coefficient = 0.0000, Odds Ratio = 1.0000
Feature 182: Coefficient = 0.0083, Odds Ratio = 1.0084
Feature 183: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 184: Coefficient = -0.1508, Odds Ratio = 0.8600
Feature 185: Coefficient = -0.2664, Odds Ratio = 0.7661
Feature 186: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 187: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 188: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 189: Coefficient = 0.0280, Odds Ratio = 1.0284
Feature 190: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 191: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 192: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 193: Coefficient = 0.0222, Odds Ratio = 1.0224
Feature 194: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 195: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 196: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 197: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 198: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 199: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 200: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 201: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 202: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 203: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 204: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 205: Coefficient = 0.0000, Odds Ratio = 1.0000
Feature 206: Coefficient = -0.2127, Odds Ratio = 0.8084
Feature 207: Coefficient = -0.2127, Odds Ratio = 0.8084
Feature 208: Coefficient = -0.2156, Odds Ratio = 0.8060
Feature 209: Coefficient = 0.0092, Odds Ratio = 1.0093
Feature 210: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 211: Coefficient = 0.0083, Odds Ratio = 1.0084
Feature 212: Coefficient = -0.0121, Odds Ratio = 0.9880
Feature 213: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 214: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 215: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 216: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 217: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 218: Coefficient = 0.0373, Odds Ratio = 1.0380
Feature 219: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 220: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 221: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 222: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 223: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 224: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 225: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 226: Coefficient = 0.0000, Odds Ratio = 1.0000
Feature 227: Coefficient = 0.0187, Odds Ratio = 1.0188
Feature 228: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 229: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 230: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 231: Coefficient = 0.0280, Odds Ratio = 1.0284
Feature 232: Coefficient = 0.0408, Odds Ratio = 1.0417
Feature 233: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 234: Coefficient = 0.1580, Odds Ratio = 1.1712
Feature 235: Coefficient = -0.0251, Odds Ratio = 0.9752
Feature 236: Coefficient = 0.0176, Odds Ratio = 1.0177
Feature 237: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 238: Coefficient = 0.0041, Odds Ratio = 1.0041
Feature 239: Coefficient = -0.0602, Odds Ratio = 0.9416
Feature 240: Coefficient = -0.0121, Odds Ratio = 0.9880
Feature 241: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 242: Coefficient = -0.2127, Odds Ratio = 0.8084
Feature 243: Coefficient = 0.0083, Odds Ratio = 1.0084
Feature 244: Coefficient = 0.0083, Odds Ratio = 1.0084
Feature 245: Coefficient = -0.8510, Odds Ratio = 0.4270
Feature 246: Coefficient = -0.0733, Odds Ratio = 0.9294
Feature 247: Coefficient = 0.0000, Odds Ratio = 1.0000
Feature 248: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 249: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 250: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 251: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 252: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 253: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 254: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 255: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 256: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 257: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 258: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 259: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 260: Coefficient = 0.0315, Odds Ratio = 1.0320
Feature 261: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 262: Coefficient = 0.0128, Odds Ratio = 1.0129
Feature 263: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 264: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 265: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 266: Coefficient = -0.1110, Odds Ratio = 0.8949
Feature 267: Coefficient = -0.0579, Odds Ratio = 0.9438
Feature 268: Coefficient = 0.0024, Odds Ratio = 1.0024
Feature 269: Coefficient = 0.0093, Odds Ratio = 1.0094
Feature 270: Coefficient = -0.2571, Odds Ratio = 0.7733
Feature 271: Coefficient = -0.2496, Odds Ratio = 0.7791
Feature 272: Coefficient = -0.0733, Odds Ratio = 0.9294
Feature 273: Coefficient = 0.0041, Odds Ratio = 1.0041
